id,recording,date,time_BST,time_GMT,transect,track,gain,distance,sea state,notes,ST file,detected_st,detected_cpod_raw,detected_cpod_train,detected_cpod_hp,detected_fpod_raw,detected_fpod_train,detected_fpod_hp,depth ,bearingN,true_distance,tidal_twelfth ,SL2
pb40,rec 5,02/04/2023,10:58:30,09:58:30,1,1.1,50,300,2,,2.3,1,0,0,0,0,0,0,30.4,280.2,298.39286,1,152
pb41,rec 1,02/04/2023,11:06:00,10:06:00,1,1.1,50,200,2,,2.4,1,1,1,0,1,0,0,31.3,298.4,225.97616,2,145
pb42,rec 1,02/04/2023,11:07:00,10:07:00,1,1.1,30,200,2,,2.4,1,1,0,0,1,0,0,31.3,298.4,225.97616,2,125
pb43,rec 2,02/04/2023,11:08:00,10:08:00,1,1.1,30,200,2,,2.4,1,0,0,0,1,0,0,31.3,298.4,225.97616,2,125
pb44,rec 2,02/04/2023,11:09:00,10:09:00,1,1.1,50,200,2,,2.4,1,1,1,0,1,0,0,31.3,298.4,225.97616,2,145
pb45,rec 3,02/04/2023,11:10:00,10:10:00,1,1.1,50,200,2,,2.4,1,1,0,0,1,0,0,31.3,298.4,225.97616,2,140
pb46,rec 3,02/04/2023,11:11:00,10:11:00,1,1.1,30,200,2,,2.4,0,0,0,0,1,0,0,31.3,298.4,225.97616,2,120
pb47,rec 4,02/04/2023,11:12:00,10:12:00,1,1.1,30,200,2,,2.4,0,0,0,0,1,0,0,31.3,298.4,225.97616,2,123
pb48,rec 4,02/04/2023,11:13:00,10:13:00,1,1.1,50,200,2,,2.4,1,1,0,0,1,0,0,31.3,298.4,225.97616,2,143
pb49,rec 5,02/04/2023,11:14:00,10:14:00,1,1.1,50,200,2,,3.1,1,1,0,0,1,0,0,31.3,298.4,225.97616,2,152
pb50,rec 5,02/04/2023,11:15:00,10:15:00,1,1.1,30,200,2,,3.1,1,1,0,0,1,0,0,31.3,298.4,225.97616,2,132
pb51,rec 1,02/04/2023,11:24:30,10:24:30,1,1.1,30,100,2,,3.2,1,1,0,0,1,0,0,25.5,295,128.75416,2,125
pb52,rec 1,02/04/2023,11:25:30,10:25:30,1,1.1,50,100,2,,3.2,1,1,1,0,1,0,0,25.5,295,128.75416,2,145
pb53,rec 2,02/04/2023,11:26:30,10:26:30,1,1.1,50,100,2,,3.2,1,1,1,0,1,0,0,25.5,295,128.75416,2,145
pb54,rec 2,02/04/2023,11:27:30,10:27:30,1,1.1,30,100,2,,3.2,1,1,0,0,1,1,0,25.5,295,128.75416,2,125
pb55,rec 3,02/04/2023,11:28:30,10:28:30,1,1.1,30,100,2,,3.2,1,1,0,0,1,0,0,25.5,295,128.75416,2,120
pb56,rec 3,02/04/2023,11:29:30,10:29:30,1,1.1,50,100,2,,3.2,1,1,1,0,1,0,0,25.5,295,128.75416,2,140
pb57,rec 4,02/04/2023,11:30:45,10:30:45,1,1.1,50,100,2,,3.2,1,1,0,0,1,0,0,25.5,295,128.75416,2,143
pb58,rec 4,02/04/2023,11:31:45,10:31:45,1,1.1,30,100,2,,3.2,1,1,1,1,1,0,0,25.5,295,128.75416,2,123
pb59,rec 5,02/04/2023,11:33:00,10:33:00,1,1.1,30,100,2,,3.2,1,1,0,0,1,0,0,25.5,295,128.75416,2,132
pb60,rec 5,02/04/2023,11:34:00,10:34:00,1,1.1,50,100,2,,3.2,0,1,1,0,1,1,0,25.5,295,128.75416,2,152
pb61,rec 1,02/04/2023,12:01:00,11:01:00,1,1.2,30,600,2,,4.1,0,0,0,0,0,0,0,40.1,295.9,598.08868,2,125
pb62,rec 1,02/04/2023,12:02:00,11:02:00,1,1.2,50,600,2,,4.1,0,0,0,0,0,0,0,40.1,295.9,598.08868,3,145
pb63,rec 2,02/04/2023,12:09:00,11:09:00,1,1.2,50,600,2,,4.1,0,0,0,0,0,0,0,40.1,295.9,598.08868,3,145
pb64,rec 2,02/04/2023,12:10:00,11:10:00,1,1.2,30,600,2,,4.1,0,0,0,0,0,0,0,40.1,295.9,598.08868,3,125
pb65,rec 3,02/04/2023,12:11:00,11:11:00,1,1.2,30,600,2,,4.1,0,0,0,0,0,0,0,40.1,295.9,598.08868,3,120
pb66,rec 3,02/04/2023,12:12:00,11:12:00,1,1.2,50,600,2,,4.1,0,0,0,0,0,0,0,40.1,295.9,598.08868,3,140
pb67,rec 4,02/04/2023,12:15:00,11:15:00,1,1.2,30,600,2,,4.1,0,0,0,0,0,0,0,40.1,295.9,598.08868,3,123
pb68,rec 4,02/04/2023,12:16:00,11:16:00,1,1.2,50,600,2,,4.1,0,0,0,0,0,0,0,40.1,295.9,598.08868,3,143
pb69,rec 5,02/04/2023,12:16:30,11:16:30,1,1.2,50,600,2,,4.1,0,0,0,0,0,0,0,40.1,295.9,598.08868,3,152
pb70,rec 5,02/04/2023,12:17:30,11:17:30,1,1.2,30,600,2,,4.1,0,0,0,0,0,0,0,40.1,295.9,598.08868,3,132
pb71,rec 1,02/04/2023,12:20:30,11:20:30,1,1.2,30,500,2,,4.2,0,0,0,0,0,0,0,36.5,294.2,499.12667,3,125
pb72,rec 1,02/04/2023,12:21:30,11:21:30,1,1.2,50,500,2,,4.2,0,0,0,0,0,0,0,36.5,294.2,499.12667,3,145
pb73,rec 2,02/04/2023,12:22:30,11:22:30,1,1.2,50,500,2,,4.2,0,0,0,0,0,0,0,36.5,294.2,499.12667,3,145
pb74,rec 2,02/04/2023,12:23:30,11:23:30,1,1.2,30,500,2,,4.2,0,0,0,0,0,0,0,36.5,294.2,499.12667,3,125
pb75,rec 3,02/04/2023,12:26:00,11:26:00,1,1.2,30,500,2,,4.2,0,0,0,0,0,0,0,36.5,294.2,499.12667,3,120
pb76,rec 3,02/04/2023,12:27:00,11:27:00,1,1.2,50,500,2,,4.2,0,0,0,0,0,0,0,36.5,294.2,499.12667,3,140
pb77,rec 4,02/04/2023,12:28:00,11:28:00,1,1.2,50,500,2,,4.2,0,0,0,0,0,0,0,36.5,294.2,499.12667,3,143
pb78,rec 4,02/04/2023,12:29:00,11:29:00,1,1.2,30,500,2,,4.2,0,0,0,0,0,0,0,36.5,294.2,499.12667,3,123
pb79,rec 5,02/04/2023,12:31:30,11:31:30,1,1.2,30,500,2,,4.2,0,0,0,0,0,0,0,36.5,294.2,499.12667,3,132
pb80,rec 5,02/04/2023,12:32:30,11:32:30,1,1.2,50,500,2,,4.2,0,0,0,0,0,0,0,36.5,294.2,499.12667,3,152
pb81,rec 1,02/04/2023,12:34:30,11:34:30,1,1.2,30,400,2,,4.3,0,0,0,0,0,0,0,32,295.8,401.39187,3,125
pb82,rec 1,02/04/2023,12:35:30,11:35:30,1,1.2,50,400,2,,4.3,0,0,0,0,0,0,0,32,295.8,401.39187,3,145
pb83,rec 2,02/04/2023,12:36:30,11:36:30,1,1.2,50,400,2,,4.3,0,0,0,0,0,0,0,32,295.8,401.39187,3,145
pb84,rec 2,02/04/2023,12:37:30,11:37:30,1,1.2,30,400,2,,4.3,0,0,0,0,0,0,0,32,295.8,401.39187,3,125
pb85,rec 3,02/04/2023,12:38:30,11:38:30,1,1.2,30,400,2,,4.3,0,0,0,0,0,0,0,32,295.8,401.39187,3,120
pb86,rec 3,02/04/2023,12:40:00,11:40:00,1,1.2,50,400,2,,4.3,0,0,0,0,0,0,0,32,295.8,401.39187,3,140
pb87,rec 4,02/04/2023,12:41:30,11:41:30,1,1.2,50,400,2,,4.3,0,0,0,0,0,0,0,32,295.8,401.39187,3,143
pb88,rec 4,02/04/2023,12:42:30,11:42:30,1,1.2,30,400,2,,4.3,0,0,0,0,0,0,0,32,295.8,401.39187,3,123
pb89,rec 5,02/04/2023,12:43:30,11:43:30,1,1.2,30,400,2,,5.1,0,0,0,0,0,0,0,32,295.8,401.39187,3,132
pb90,rec 5,02/04/2023,12:44:30,11:44:30,1,1.2,50,400,2,,5.1,0,0,0,0,1,0,0,32,295.8,401.39187,3,152
pb91,rec 1,02/04/2023,12:47:00,11:47:00,1,1.2,30,300,2,,5.2,1,0,0,0,0,0,0,30.4,280.2,298.39286,3,125
pb92,rec 1,02/04/2023,12:48:00,11:48:00,1,1.2,50,300,2,,5.2,1,0,0,0,0,0,0,30.4,280.2,298.39286,3,145
pb93,rec 2,02/04/2023,12:49:00,11:49:00,1,1.2,50,300,2,,5.2,1,0,0,0,0,0,0,30.4,280.2,298.39286,3,145
pb94,rec 2,02/04/2023,12:50:00,11:50:00,1,1.2,30,300,2,,5.2,0,0,0,0,0,0,0,30.4,280.2,298.39286,3,125
pb95,rec 3,02/04/2023,12:51:00,11:51:00,1,1.2,30,300,2,,5.2,0,0,0,0,0,0,0,30.4,280.2,298.39286,3,120
pb96,rec 3,02/04/2023,12:52:00,11:52:00,1,1.2,50,300,2,,5.2,0,0,0,0,0,0,0,30.4,280.2,298.39286,3,140
pb97,rec 4,02/04/2023,12:54:30,11:54:30,1,1.2,30,300,2,,5.2,0,0,0,0,0,0,0,30.4,280.2,298.39286,3,123
pb98,rec 4,02/04/2023,12:55:30,11:55:30,1,1.2,50,300,2,,5.2,1,0,0,0,0,0,0,30.4,280.2,298.39286,3,143
pb99,rec 5,02/04/2023,12:56:30,11:56:30,1,1.2,50,300,2,,5.2,1,0,0,0,0,0,0,30.4,280.2,298.39286,3,152
pb100,rec 5,02/04/2023,12:57:30,11:57:30,1,1.2,30,300,2,,5.2,1,0,0,0,0,0,0,30.4,280.2,298.39286,3,132
pb101,rec 1,02/04/2023,13:02:30,12:02:30,1,1.2,30,200,2,,5.3,1,1,0,0,1,0,0,31.3,298.4,225.97616,3,125
pb102,rec 1,02/04/2023,13:03:30,12:03:30,1,1.2,50,200,2,,5.3,1,1,0,0,1,0,0,31.3,298.4,225.97616,3,145
pb103,rec 2,02/04/2023,13:04:30,12:04:30,1,1.2,50,200,2,,5.3,1,1,0,0,1,0,0,31.3,298.4,225.97616,3,145
pb104,rec 2,02/04/2023,13:05:30,12:05:30,1,1.2,30,200,2,,5.3,1,0,0,0,1,0,0,31.3,298.4,225.97616,3,125
pb105,rec 3,02/04/2023,13:06:30,12:06:30,1,1.2,50,200,2,,5.3,0,0,0,0,0,0,0,31.3,298.4,225.97616,3,140
pb106,rec 3,02/04/2023,13:08:30,12:08:30,1,1.2,30,200,2,,5.3,0,0,0,0,1,0,0,31.3,298.4,225.97616,3,120
pb107,rec 4,02/04/2023,13:09:30,12:09:30,1,1.2,30,200,2,,5.3,0,0,0,0,1,0,0,31.3,298.4,225.97616,3,123
pb108,rec 4,02/04/2023,13:10:30,12:10:30,1,1.2,50,200,2,,5.3,1,0,0,0,1,0,0,31.3,298.4,225.97616,3,143
pb109,rec 5,02/04/2023,13:13:30,12:13:30,1,1.2,50,200,2,,5.3,1,1,1,0,1,0,0,31.3,298.4,225.97616,3,152
pb110,rec 5,02/04/2023,13:14:30,12:14:30,1,1.2,30,200,2,,5.3,1,1,0,0,1,0,0,31.3,298.4,225.97616,3,132
pb111,rec 1,02/04/2023,13:23:00,12:23:00,1,1.2,30,100,2,,5.4,1,1,1,1,1,0,0,25.5,295,128.75416,3,125
pb112,rec 1,02/04/2023,13:24:00,12:24:00,1,1.2,50,100,2,,5.4,1,1,0,0,1,0,0,25.5,295,128.75416,3,145
pb113,rec 2,02/04/2023,13:25:00,12:25:00,1,1.2,50,100,2,,5.4,1,1,1,1,1,0,0,25.5,295,128.75416,3,145
pb114,rec 2,02/04/2023,13:26:00,12:26:00,1,1.2,30,100,2,,5.4,1,1,1,0,1,1,0,25.5,295,128.75416,3,125
pb115,rec 3,02/04/2023,13:28:00,12:28:00,1,1.2,30,100,2,,5.4,1,1,1,1,1,1,1,25.5,295,128.75416,3,120
pb116,rec 3,02/04/2023,13:29:00,12:29:00,1,1.2,50,100,2,,6.1,1,1,0,0,1,0,0,25.5,295,128.75416,3,140
pb117,rec 4,02/04/2023,13:30:00,12:30:00,1,1.2,50,100,2,,6.1,1,1,1,1,1,0,0,25.5,295,128.75416,3,143
pb118,rec 4,02/04/2023,13:31:00,12:31:00,1,1.2,30,100,2,,6.1,1,1,1,1,1,1,0,25.5,295,128.75416,3,123
pb119,rec 5,02/04/2023,13:32:00,12:32:00,1,1.2,30,100,2,,6.1,1,1,1,0,1,1,0,25.5,295,128.75416,3,132
pb120,rec 5,02/04/2023,13:33:00,12:33:00,1,1.2,50,100,2,,6.1,1,1,0,0,1,0,0,25.5,295,128.75416,3,152
pb121,rec 1,02/04/2023,13:51:00,12:51:00,2,2.1,30,600,2,,6.2,0,0,0,0,0,0,0,18.2,10.7,602.3707,3,125
pb122,rec 1,02/04/2023,13:52:00,12:52:00,2,2.1,50,600,2,,6.2,0,0,0,0,0,0,0,18.2,10.7,602.3707,3,145
pb123,rec 2,02/04/2023,13:53:00,12:53:00,2,2.1,50,600,2,,6.2,0,0,0,0,0,0,0,18.2,10.7,602.3707,3,145
pb124,rec 2,02/04/2023,13:54:00,12:54:00,2,2.1,30,600,2,,6.2,0,0,0,0,0,0,0,18.2,10.7,602.3707,3,125
pb125,rec 3,02/04/2023,13:55:00,12:55:00,2,2.1,30,600,2,,6.2,0,0,0,0,0,0,0,18.2,10.7,602.3707,3,120
pb126,rec 3,02/04/2023,13:56:00,12:56:00,2,2.1,50,600,2,,6.2,0,0,0,0,0,0,0,18.2,10.7,602.3707,3,140
pb127,rec 4,02/04/2023,13:58:30,12:58:30,2,2.1,50,600,2,,6.2,0,0,0,0,0,0,0,18.2,10.7,602.3707,3,143
pb128,rec 4,02/04/2023,13:59:30,12:59:30,2,2.1,30,600,2,,6.2,0,0,0,0,0,0,0,18.2,10.7,602.3707,3,123
pb129,rec 5,02/04/2023,14:00:00,13:00:00,2,2.1,50,600,2,,6.2,0,0,0,0,0,0,0,18.2,10.7,602.3707,3,152
pb130,rec 5,02/04/2023,14:01:00,13:01:00,2,2.1,30,600,2,,6.2,0,0,0,0,0,0,0,18.2,10.7,602.3707,3,132
pb131,rec 1,02/04/2023,14:03:00,13:03:00,2,2.1,30,500,2,,6.3,0,0,0,0,0,0,0,19,10,498.2751,2,125
pb132,rec 1,02/04/2023,14:04:00,13:04:00,2,2.1,50,500,2,,6.3,0,0,0,0,0,0,0,19,10,498.2751,2,145
pb133,rec 2,02/04/2023,14:05:00,13:05:00,2,2.1,30,500,2,,6.3,0,0,0,0,0,0,0,19,10,498.2751,2,125
pb134,rec 2,02/04/2023,14:06:00,13:06:00,2,2.1,50,500,2,,6.3,0,0,0,0,0,0,0,19,10,498.2751,2,145
pb135,rec 3,02/04/2023,14:08:00,13:08:00,2,2.1,30,500,2,,6.3,0,0,0,0,0,0,0,19,10,498.2751,2,120
pb136,rec 3,02/04/2023,14:09:00,13:09:00,2,2.1,50,500,2,,6.3,0,0,0,0,0,0,0,19,10,498.2751,2,140
pb137,rec 4,02/04/2023,14:10:00,13:10:00,2,2.1,50,500,2,,6.3,0,0,0,0,0,0,0,19,10,498.2751,2,143
pb138,rec 4,02/04/2023,14:11:00,13:11:00,2,2.1,30,500,2,,6.3,0,0,0,0,0,0,0,19,10,498.2751,2,123
pb139,rec 5,02/04/2023,14:12:00,13:12:00,2,2.1,30,500,2,,6.3,0,0,0,0,0,0,0,19,10,498.2751,2,132
pb140,rec 5,02/04/2023,14:13:00,13:13:00,2,2.1,50,500,2,,6.3,0,0,0,0,0,0,0,19,10,498.2751,2,152
pb141,rec 1,02/04/2023,14:16:00,13:16:00,2,2.1,30,400,2,,7.1,0,0,0,0,0,0,0,20.5,9.2,397.9081,2,125
pb142,rec 1,02/04/2023,14:17:00,13:17:00,2,2.1,50,400,2,,7.1,0,0,0,0,0,0,0,20.5,9.2,397.9081,2,145
pb143,rec 2,02/04/2023,14:18:00,13:18:00,2,2.1,30,400,2,,7.1,0,0,0,0,0,0,0,20.5,9.2,397.9081,2,125
pb144,rec 2,02/04/2023,14:19:00,13:19:00,2,2.1,50,400,2,,7.1,0,0,0,0,0,0,0,20.5,9.2,397.9081,2,145
pb145,rec 3,02/04/2023,14:20:00,13:20:00,2,2.1,30,400,2,,7.1,0,0,0,0,0,0,0,20.5,9.2,397.9081,2,120
pb146,rec 3,02/04/2023,14:21:00,13:21:00,2,2.1,50,400,2,,7.1,0,0,0,0,0,0,0,20.5,9.2,397.9081,2,140
pb147,rec 4,02/04/2023,14:22:00,13:22:00,2,2.1,50,400,2,,7.1,0,0,0,0,0,0,0,20.5,9.2,397.9081,2,143
pb148,rec 4,02/04/2023,14:23:00,13:23:00,2,2.1,30,400,2,,7.1,0,0,0,0,0,0,0,20.5,9.2,397.9081,2,123
pb149,rec 5,02/04/2023,14:24:00,13:24:00,2,2.1,30,400,2,,7.1,0,0,0,0,0,0,0,20.5,9.2,397.9081,2,132
pb150,rec 5,02/04/2023,14:25:00,13:25:00,2,2.1,50,400,2,,7.1,0,0,0,0,0,0,0,20.5,9.2,397.9081,2,152
pb151,rec 1,02/04/2023,14:29:00,13:29:00,2,2.1,50,300,2,,7.2,1,0,0,0,1,0,0,22.3,7.9,297.669,2,145
pb152,rec 1,02/04/2023,14:30:00,13:30:00,2,2.1,30,300,2,,7.2,1,0,0,0,1,0,0,22.3,7.9,297.669,2,125
pb153,rec 2,02/04/2023,14:31:00,13:31:00,2,2.1,30,300,2,,7.2,0,0,0,0,0,0,0,22.3,7.9,297.669,2,125
pb154,rec 2,02/04/2023,14:32:00,13:32:00,2,2.1,50,300,2,,7.2,1,0,0,0,1,0,0,22.3,7.9,297.669,2,145
pb155,rec 3,02/04/2023,14:33:00,13:33:00,2,2.1,50,300,2,,7.2,1,0,0,0,0,0,0,22.3,7.9,297.669,2,140
pb156,rec 3,02/04/2023,14:34:00,13:34:00,2,2.1,30,300,2,,7.2,0,0,0,0,0,0,0,22.3,7.9,297.669,2,120
pb157,rec 4,02/04/2023,14:35:00,13:35:00,2,2.1,30,300,2,,7.2,0,0,0,0,0,0,0,22.3,7.9,297.669,2,123
pb158,rec 4,02/04/2023,14:36:00,13:36:00,2,2.1,50,300,2,,7.2,1,0,0,0,0,0,0,22.3,7.9,297.669,2,143
pb159,rec 5,02/04/2023,14:37:00,13:37:00,2,2.1,50,300,2,,7.2,1,0,0,0,1,0,0,22.3,7.9,297.669,2,152
pb160,rec 5,02/04/2023,14:38:00,13:38:00,2,2.1,30,300,2,,7.2,1,0,0,0,1,0,0,22.3,7.9,297.669,2,132
pb161,rec 1,02/04/2023,14:41:00,13:41:00,2,2.1,30,200,2,,7.3,1,1,0,0,1,0,0,25.3,3.6,197.32201,2,125
pb162,rec 1,02/04/2023,14:42:00,13:42:00,2,2.1,50,200,2,,7.3,1,1,1,0,1,0,0,25.3,3.6,197.32201,2,145
pb163,rec 2,02/04/2023,14:43:00,13:43:00,2,2.1,50,200,2,,7.3,1,0,0,0,1,0,0,25.3,3.6,197.32201,2,145
pb164,rec 2,02/04/2023,14:44:00,13:44:00,2,2.1,30,200,2,,7.3,1,0,0,0,1,0,0,25.3,3.6,197.32201,2,125
pb165,rec 3,02/04/2023,14:45:00,13:45:00,2,2.1,30,200,2,,7.3,0,0,0,0,1,0,0,25.3,3.6,197.32201,2,120
pb166,rec 3,02/04/2023,14:46:00,13:46:00,2,2.1,50,200,2,,7.3,1,1,0,0,1,0,0,25.3,3.6,197.32201,2,140
pb167,rec 4,02/04/2023,14:47:00,13:47:00,2,2.1,50,200,2,,7.3,1,1,0,0,1,1,1,25.3,3.6,197.32201,2,143
pb168,rec 4,02/04/2023,14:49:00,13:49:00,2,2.1,30,200,2,,7.3,1,0,0,0,1,1,0,25.3,3.6,197.32201,2,123
pb169,rec 5,02/04/2023,14:50:00,13:50:00,2,2.1,30,200,2,,7.3,1,1,0,0,1,0,0,25.3,3.6,197.32201,2,132
pb170,rec 5,02/04/2023,14:51:00,13:51:00,2,2.1,50,200,2,,7.3,1,1,0,0,1,0,0,25.3,3.6,197.32201,2,152
pb171,rec 1,02/04/2023,14:54:00,13:54:00,2,2.1,30,100,2,,7.4,1,1,1,1,1,0,0,17.8,6.7,101.93101,2,125
pb172,rec 1,02/04/2023,14:55:00,13:55:00,2,2.1,50,100,2,,7.4,1,1,1,0,1,0,0,17.8,6.7,101.93101,2,145
pb173,rec 2,02/04/2023,14:56:00,13:56:00,2,2.1,50,100,2,,7.4,1,1,0,0,1,0,0,17.8,6.7,101.93101,2,145
pb174,rec 2,02/04/2023,14:57:00,13:57:00,2,2.1,30,100,2,,7.4,1,1,1,0,1,0,0,17.8,6.7,101.93101,2,125
pb175,rec 3,02/04/2023,14:58:00,13:58:00,2,2.1,30,100,2,,7.4,1,1,1,1,1,1,0,17.8,6.7,101.93101,2,120
pb176,rec 3,02/04/2023,14:59:00,13:59:00,2,2.1,50,100,2,,8.1,1,1,1,0,1,0,0,17.8,6.7,101.93101,2,140
pb177,rec 4,02/04/2023,15:00:00,14:00:00,2,2.1,50,100,2,,8.1,1,1,1,0,1,1,0,17.8,6.7,101.93101,2,143
pb178,rec 4,02/04/2023,15:01:00,14:01:00,2,2.1,30,100,2,,8.1,1,1,1,1,1,1,0,17.8,6.7,101.93101,2,123
pb179,rec 5,02/04/2023,15:02:00,14:02:00,2,2.1,30,100,2,,8.1,1,1,0,0,1,0,0,17.8,6.7,101.93101,1,132
pb180,rec 5,02/04/2023,15:03:00,14:03:00,2,2.1,50,100,2,,8.1,1,1,0,0,1,0,0,17.8,6.7,101.93101,1,152
pb181,rec 1,02/04/2023,15:17:00,14:17:00,2,2.2,30,600,2,,8.2,0,0,0,0,0,0,0,18.2,10.7,602.3707,1,125
pb182,rec 1,02/04/2023,15:18:00,14:18:00,2,2.2,50,600,2,,8.2,0,0,0,0,0,0,0,18.2,10.7,602.3707,1,145
